Speech,Type,Unit
Glory to the Daelaam.,Trained,Adept
 The Firstborn shall persevere.,Trained,Adept
Give us your command.,Selected,Adept
Let your will be heard.,Selected,Adept
Aiur shall be reclaimed.,Selected,Adept
"Yes, Executor?",Selected,Adept
Where shall we march?,Selected,Adept
Combat awaits.,Selected,Adept
We serve with pride.,Selected,Adept
Na ja'kar meena.,Selected,Adept
Glorious combat is upon us!,Engaged In Battle,Adept
Faith before fear.,Moved,Adept
It shall be done.,Moved,Adept
We are of one mind.,Moved,Adept
The Templar march.,Moved,Adept
Let none deter us.,Moved,Adept
To glory.,Moved,Adept
Por zalah.,Moved,Adept
Forward.,Moved,Adept
I am the will of the Hierarch.,Attack,Adept
May your death be swift.,Attack,Adept
To glorious battle.,Attack,Adept
Spare none who oppose us.,Attack,Adept
Victory for the Firstborn!,Attack,Adept
For Selendis!,Attack,Adept
Glaive cannon armed.,Attack,Adept
Eradication.,Attack,Adept
We are the stewards of the hierarchy.,Repeat,Adept
Aiur will be reclaimed at any cost.,Repeat,Adept
"Some Templar identify as a shield. Stalwart and unbreakable, defenders of truth.",Repeat,Adept
Others see themselves as a weapon. Powerful and precise.,Repeat,Adept
"I say, why not be both?",Repeat,Adept
"With the right training, anyone can be in two places at once. But their mind must be fully open. Oh, and they need a psionic amplifier. That helps too.",Repeat,Adept
"Chasing after your own shade is a pointless endeavor. I mean, it moves so quickly.",Repeat,Adept
"Why yes, you could say I have... some skill. (chuckles)",Repeat,Adept
What? Just because I'm called an adept doesn't mean I need to brag about it.,Repeat,Adept
I'm here. (shade sound) I'm there. (shade sound) I'm...still here. At least for a few more seconds.,Repeat,Adept
For... Aiur! ,Death,Adept
The merging is complete.,Trained,Archon
We BURN!,Selected,Archon
We need focus!,Selected,Archon
Power overwhelming!,Selected,Archon
What guidance?,Selected,Archon
Dispersing.,Engaged In Battle,Archon
Destroy.,Moved,Archon
Annihilate.,Moved,Archon
Obliterate.,Moved,Archon
Eradicate.,Moved,Archon
It will be.,Moved,Archon
Mok tar'idan.,Moved,Archon
Dominate.,Attack,Archon
Decimate.,Attack,Archon
Vaporize.,Attack,Archon
You all look so different on this side...,Repeat,Archon
Break on through!,Repeat,Archon
It's beautiful!,Repeat,Archon
They should have sent a poet!,Repeat,Archon
Energy never dies...,Repeat,Archon
I'm having a FLARE UP!,Repeat,Archon
One plus one equals... ONE!,Repeat,Archon
People say I lack... substance.,Repeat,Archon
I'm... LIT!,Repeat,Archon
Burning... doing.... the neutron... DANCE...,Repeat,Archon
Carrier has arrived!,Trained,Carrier
Victory awaits!,Selected,Carrier
Let us proceed.,Selected,Carrier
Uhn anak paru.,Selected,Carrier
Awaiting the call.,Selected,Carrier
We are poised for victory.,Selected,Carrier
We are ready.,Selected,Carrier
We have met the enemy!,Engaged In Battle,Carrier
Zhara ku'nuul.,Moved,Carrier
The time is now.,Moved,Carrier
To victory!,Moved,Carrier
Na hazuum.,Moved,Carrier
Agreed.,Moved,Carrier
Prepare to engage.,Moved,Carrier
The battle is won.,Moved,Carrier
Engaging the enemy!,Attack,Carrier
Por aradal!,Attack,Carrier
Obliterate.,Attack,Carrier
Oblivion descends!,Attack,Carrier
Let us finish this!,Attack,Carrier
The end has come!,Attack,Carrier
